# relpath	width	height	bytes	sha256
platformer-art-deluxe/Base pack/Items/flagBlue.png	70	70	1268	852f9c06d88584e4b573e4d8fef6b6d94b8163e22c7f7859dad92d1069827d31
platformer-art-deluxe/Base pack/Items/flagBlue2.png	70	70	1281	f3dd4b2f0236c7e1cc7e346b660ca0f45bb691bdee6e8add0498f2c9fc93a67b
platformer-art-deluxe/Base pack/Items/flagBlueHanging.png	70	70	1150	98fdca488218a3db42fca84aa98370173caaf0a443b9aa3eb135afa6fab753db
platformer-art-deluxe/Base pack/Items/flagGreen.png	70	70	1285	a7ebb8730105db02e010fc40a7f30d97f4bf69f65ddfc836b0a45864c41472ab
platformer-art-deluxe/Base pack/Items/flagGreen2.png	70	70	1253	4549aed43835439e38aa5938249e41751f00d2dcc0e0336d9cc26db23f9a39f9
platformer-art-deluxe/Base pack/Items/flagGreenHanging.png	70	70	1143	366be1e84a9d3e96efbe7d4c3b82ca5da7bfb486eb6cebd3a61f4082c4d4b4e2
platformer-art-deluxe/Base pack/Items/flagRed.png	70	70	1262	71508a52a376fcef65bb5dafae571450dd8f9226f4b74ffc9e2ae15fc76ba2ac
platformer-art-deluxe/Base pack/Items/flagRed2.png	70	70	1276	d0da532e496797eb21529de71af12584d7d0c99a1daed96f7a840a26a174be42
platformer-art-deluxe/Base pack/Items/flagRedHanging.png	70	70	1149	d9935205c7c87d029839c94a24c84ae4953997003f876e816b3aaf3ca11b3b91
platformer-art-deluxe/Base pack/Items/flagYellow.png	70	70	1174	5bfdd9b1ebe2880abfd380ec7bd83527b9e3486398be48f3b0972a5cff7dc5a6
platformer-art-deluxe/Base pack/Items/flagYellow2.png	70	70	1185	32cc02d52ae02aa5d3f8d5fee7cee0e749bffca38351cb88270140fbe02011df
platformer-art-deluxe/Base pack/Items/flagYellowHanging.png	70	70	1081	d013c2621300077cc2057ea92672a483699a6320a0708c90cf7899d7dad57d7a
platformer-art-deluxe/Base pack/Items/gemBlue.png	70	70	634	005d0f19f60416cfcb19723537a31f501dcf82695c8df795909a9d3bb229f6be
platformer-art-deluxe/Base pack/Items/gemGreen.png	70	70	636	90b5ac7369310db3bfbb4d90edf13881fd5a30edd180f40a36b2f178fc0f36de
platformer-art-deluxe/Base pack/Items/gemRed.png	70	70	638	9a847e6c8a5165176a1516e5b7ef027f83066c9748dbdaead96ae4b051aef4c7
platformer-art-deluxe/Base pack/Items/gemYellow.png	70	70	597	406e5c840d792a8574c839e8164e39051e5aa10f88888b5969e37285ab9c11fb
platformer-art-deluxe/Base pack/Items/keyBlue.png	70	70	2251	8ad59aa9aab6b67431c96e57114abd137d5a33510e2aa2d644d5548b775ba0ac
platformer-art-deluxe/Base pack/Items/keyGreen.png	70	70	2297	648c97cf1c2c63c8e4b73f2b8b7cee9d4ba9c57f007a65594b6e2642a15d7426
platformer-art-deluxe/Base pack/Items/keyRed.png	70	70	2234	7365cd3484a02afbc060ed28eecbf2894d7338162b0a7a8dac265ea6e07e8945
platformer-art-deluxe/Base pack/Items/keyYellow.png	70	70	2122	faf0da321d72773ef12cb141e79a8ac5af50deb082a48186c2c09cd29bb6d409
platformer-art-deluxe/Base pack/Items/mushroomBrown.png	70	70	3477	a56d3470c63c7d7c2ccca5c203ac3dcd99cab10d76d30cf8200fa0dd195acecf
platformer-art-deluxe/Base pack/Items/mushroomRed.png	70	70	3821	162829867a5dcf3c5f6ad8e183b256d6efc78479b7d5e7bdce79aa909f59f6ad
platformer-art-deluxe/Base pack/Items/particleBrick1a.png	19	14	228	03ac4c75e0948c1c0c13a307a65b452aaeb08cd0330a1ad62ac6d4270466413b
platformer-art-deluxe/Base pack/Items/particleBrick1b.png	21	21	346	5937adb38cb09175e12266db79b98d7224458bdad1edf2497691edf4d313a0d8
platformer-art-deluxe/Base pack/Items/particleBrick2a.png	19	14	218	0ae0e9c02775f39a24dfa5b67dfcd68f30ced5521724b75bc2b73fdc833856d8
platformer-art-deluxe/Base pack/Items/particleBrick2b.png	21	21	327	d6b7bf34ab3ab5b937d05e9d0793417ab8fd28409af785170d3177e0c31b6ac7
platformer-art-deluxe/Base pack/Items/plant.png	70	70	3772	13ae7e2f2fce03316939724e41d1f28e149368ed268025b2bad77f7570ee2597
platformer-art-deluxe/Base pack/Items/plantPurple.png	70	70	3999	f7f27aecf0ba227633df00dca57a61fcef63ee09c08f1e49847c3eb3e4eb3cdb
platformer-art-deluxe/Base pack/Items/rock.png	70	70	3999	2686811db40a1b6b2735b15fcf8f6ba7f8718592a424865bb918a0b6ef421840
platformer-art-deluxe/Base pack/Items/snowhill.png	70	70	3368	4d770a358b22c691773f68957f8525e0468672fd757424f6b8ff783d0545f9b1
platformer-art-deluxe/Base pack/Items/spikes.png	70	70	1750	39169880ab98df3b3c66ca6a36ddef8005db6e6dfbd26988f11def4db568782e
platformer-art-deluxe/Base pack/Items/springboardDown.png	70	70	737	86d13ee3a856f56763599ff920a78e93f9ed394e0898d77432354be4c7361702
platformer-art-deluxe/Base pack/Items/springboardUp.png	70	70	1370	05999b8b04011f0e25001c0e3785a4c3d8653dc05bb6b51e60662edf58b24a5c
platformer-art-deluxe/Base pack/Items/star.png	70	70	1720	0b5ca40570f319b59ed49384b82f6bd9fbb68df79cf94ed0079160d2f8856427
platformer-art-deluxe/Base pack/Items/switchLeft.png	70	70	1549	626617a5bcfd29d58871c5a4d0363069380df82f2bd3218767c1265927343b9c
platformer-art-deluxe/Base pack/Items/switchMid.png	70	70	1285	24e5cff1320401c07d862a93acbe5396f3bcae8f798e3375b40f453206068486
platformer-art-deluxe/Base pack/Items/switchRight.png	70	70	1512	4ba8d311b7571af030bb50f993f623a2637c1b0a2baaf359a71032794d1a91f5
platformer-art-deluxe/Base pack/Items/weight.png	70	70	2442	b6d4d7a4c225756eb6bd6a641f28d3bfb012877a3f19e9efdc6abcab99947848
platformer-art-deluxe/Base pack/Items/weightChained.png	70	70	2431	c693a3216ee92b67f3de42ac41b4a0ef71d40f576a375f65eb6820207aaf2144
platformer-art-deluxe/Base pack/Player/p1_duck.png	69	71	2482	73534d43479d74082e347dcb95c4b2d14014a460f2a671abf5d94b24baaab6f9
platformer-art-deluxe/Base pack/Player/p1_front.png	66	92	2706	a1591970929747660394606db9235367a2cff3e1e58073c54370816748382494
platformer-art-deluxe/Base pack/Player/p1_hurt.png	69	92	2737	4efd68cf25c3835bfeecc1db19abdc51d8f36d11b28ad778f8b43a8e6de5e017
platformer-art-deluxe/Base pack/Player/p1_jump.png	67	94	2750	a204ac71337611838f145ed418e97a72b2fc242a23c90d7b3f2fc2f317cb8369
platformer-art-deluxe/Base pack/Player/p1_stand.png	66	92	2699	da7d56cb921143f0fa01d4998f32b3e09b0db41b6b3b4b8b0ccbc0bc25a37cff
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk01.png	72	97	3637	f5012f4d208f9490e00db93a1f979efe8e65a32a279333a64984c50598033714
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk02.png	72	97	3705	329eb0dc8fa8495a663e9789263ebc9ba68c5ebcbde51727a5a45bb839e947e9
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk03.png	72	97	3892	34dfc2eeacbfb56cea3f14c4634d086ae443c9c4f787e2064a58b3bb040faa32
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk04.png	72	97	3876	b88676ad57392e117f6e714809ce258374d6e9eaad2140befc85da5fd5765608
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk05.png	72	97	3760	b9c04d41b4b5a33c0dc1507fcae13dcae7959c7430bbd1b629998a848789e45b
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk06.png	72	97	3754	ee85117ad39fd29aac95dbb1d8c21cf07dbe6f46056135c98c2a11c05307811f
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk07.png	72	97	3618	fb7bc8f04b6e73368e41083415a5f2f9557ebde3d104dffb5103f7a32c171549
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk08.png	72	97	3597	3bf2f30f183fdd55df028650a27369f16cbc9d8fb850be15f41e2f588515726e
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk09.png	72	97	3589	39f88cf0c758db314b552dea6fbb3f4cec9cedb9437d963f05bd16696c145c21
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk10.png	72	97	3570	64253e5b1f9fa13d6f907336be158fdf861b9f9411bb1f51d6d86ed4081f10d3
platformer-art-deluxe/Base pack/Player/p1_walk/PNG/p1_walk11.png	72	97	3608	a2e79b7105a990595ac2f7133f62e0a0f7378be979846edd305ac55b9f00413c
platformer-art-deluxe/Base pack/Player/p1_walk/p1_walk.png	256	512	35118	0766a9f87ed462c9114844eb88a4d36fa87576d371c36fc65330dd26736594b8
platformer-art-deluxe/Base pack/Player/p2_duck.png	67	72	2387	9ceb4f9875f541fdaecdb5a1deffcd308f08fa44d81f0e0fd71d8f465d24121a
platformer-art-deluxe/Base pack/Player/p2_front.png	66	92	2589	ad1a41def1c747135b663309408de31272a16a34869b8b5ebc6009e4d022fa51
platformer-art-deluxe/Base pack/Player/p2_hurt.png	67	92	2673	2c32a9ee2fc42f6269f0b94328b9ab90b3c567c5bb3a5f9164bca8abf2fbefea
platformer-art-deluxe/Base pack/Player/p2_jump.png	66	94	2664	55d8f8d914c332f92c2408dcb6765302edc633c52da4877eaff89c8d38ba5af8
platformer-art-deluxe/Base pack/Player/p2_stand.png	66	92	2614	a63dbc7b17a7bb888dc7a1e5baeffee2042ad1d34b53faf43d12530cfd379554
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk01.png	70	94	3438	98fe3c32d1842a2d56a1a7ae16538f69afd34d11db975bcac915205f5441bc8a
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk02.png	70	94	3401	3a9307a831a058a5808972c6240ea133c2ae9d02adeff7b3c31760500cd43fbc
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk03.png	70	94	3415	43161aa809893bc868de81dcbf05fe8822a2a141a3fc1767b23ec5208000cae6
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk04.png	70	94	3624	57c4b13b27ef7ee3da930afb096b3268489555eb50227c3adbc196b2095e10f9
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk05.png	70	94	3625	86a1ab86b63b82b3ae857033e1de9c614aa93189b3c0d0a43ab7e6d15d79c332
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk06.png	70	94	3591	b91798c0be41077099e8c1644e5bd9c2e0478ccc984f061badbf596f173234ef
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk07.png	70	94	3448	85086842f6f16524a7b7c64bb7b3a8ccaf8b27c4df2a64678de79ae371adfe0d
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk08.png	70	94	3408	a34c154212998dab152029312160d1cb596c5a4feb4210019cd95431dae716e6
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk09.png	70	94	3257	dac5037268492b1d4bcd10cb93318149c7d8ba108888ee501cf24a601c323137
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk10.png	70	94	3311	a648d57522216567c3fc037b71a6081234a7b669fb44b58f65cc05934520156f
platformer-art-deluxe/Base pack/Player/p2_walk/PNG/p2_walk11.png	70	94	3371	fc6575acffb113a7f3b1e6e567c4d9493d1366dadd4b4044222b2ac2d3021e48
platformer-art-deluxe/Base pack/Player/p2_walk/p2_walk.png	256	512	33031	abae6a58d64aee961081639af3d6a5324d25ead718726fe80b13972cba074f24
platformer-art-deluxe/Base pack/Player/p3_duck.png	69	71	2527	046b753a004b2b75d4f71e41dc1950962c31c611b95dc29d2772bf039107bb6f
platformer-art-deluxe/Base pack/Player/p3_front.png	66	92	2786	61fd02b3d0ad8c9eb668f9bf883d18c65b950beb3ed09dc36111c7c84f7fe672
platformer-art-deluxe/Base pack/Player/p3_hurt.png	69	92	2816	df5aaf1fb097da414e4f99d406e5dd0a33ec84c229ad3bb198d19c0ea41c2fcd
platformer-art-deluxe/Base pack/Player/p3_jump.png	67	94	2816	02879f8555490fcf0dad57bf6e202410d52413bbf255d98272e110e7fff0603a
platformer-art-deluxe/Base pack/Player/p3_stand.png	66	92	2781	a435b65656cdecdebd8b2c5510092217995b4754d1afd4bc2fdbd583040c8263
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk01.png	72	97	3714	770be11b5e0eedf364cfbde1f80806e09c15d7a98e7a09705925b652a5cc7916
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk02.png	72	97	3725	703daf4d3c8ccd9cb886faaed2dd93a9bc169f8ce7b3bd50cd96a90fe0233912
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk03.png	72	97	3792	81be966995553fc75e3afc9ba3f04dee244c6173611450dfb1e0da138aff64f9
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk04.png	72	97	3911	01dbbb75433abd2b4a595312bb7d233595266988f474c0e9a83735c20738a741
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk05.png	72	97	3882	0debea4aeebf735f9afa68bdbdcfd9dbf5f69c90793e3949f6be04cdd44f9b48
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk06.png	72	97	3681	8aa1344551f8a890d3546ef6acec37724b4b0702cc8e11a4d13932b2fa289eb0
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk07.png	72	97	3636	5c8c7a3ce731b3bbb00d168e2bdfd219c0809021386bc44c07df2910f15e7f46
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk08.png	72	97	3662	b6a2f1f46ce0ae8b3fde9a114a81717bf5e1103a38b015731bd8af28aa1a842b
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk09.png	72	97	3654	519406a828e594c8d3cc87edf8135c52d159d7d1fadb69384e7b7f4fe55e2e10
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk10.png	72	97	3657	114d7e3d6b27420fc50a7b96d48f6c30f0c9d3ab7a69fe8c5103f5fd6cf9bfeb
platformer-art-deluxe/Base pack/Player/p3_walk/PNG/p3_walk11.png	72	97	3675	85679038a90f88be109f9de83a16e539978c7ef9904be25482e7b78f969c8e8d
